,Belongs,Stock,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
0,.NDX.SPX,CDNS,10.0,29.92,40.0,1.18,0.0,1.0,0.0,0.0
1,.SPX,WRB,10.0,100.773,30.0,1.665,0.0,1.0,0.0,0.0
2,.SPX,CAG,12.0,146.32,58.333,2.18,1.0,0.0,0.0,0.0
