,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,ABBV,.SPX,9,311.94,66.667,5.412,False,True,False,False,149.06
1,DVN,.SPX,8,257.38,25.0,3.065,False,False,True,False,47.7
2,EXPE,.SPX,9,190.02,33.333,1.749,True,False,False,False,103.07
3,FAST,.NDX.SPX,12,16.37,33.333,1.075,False,False,True,False,54.64
4,MOH,.SPX,9,229.66,44.444,2.714,False,True,False,False,327.89
5,PAYX,.NDX.SPX,13,28.44,38.462,1.149,True,False,False,False,115.33
6,TRMB,.SPX,11,250.63,27.273,2.261,True,False,False,False,53.86
