,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,BR,.SPX,14.0,248.77,57.143,1.999,0.0,0.0,0.0,1.0,182.5
1,CDNS,.NDX.SPX,11.0,95.0,45.455,1.57,1.0,0.0,0.0,0.0,233.58
2,ES,.SPX,11.0,24.11,36.364,1.28,0.0,0.0,0.0,1.0,64.13
3,IDXX,.NDX.SPX,15.0,77.15,40.0,1.277,0.0,0.0,0.0,1.0,503.03
4,INVH,.SPX,16.0,120.54,37.5,1.473,0.0,0.0,0.0,1.0,33.78
5,PCAR,.NDX.SPX,6.0,42.353,33.333,1.421,0.0,0.0,0.0,1.0,85.65
6,PEP,.NDX.SPX,9.0,95.79,44.444,2.758,0.0,0.0,0.0,1.0,178.12
