,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,DIS,.SPX.DJI,10.0,120.55,30.0,1.66,1.0,0.0,0.0,0.0,89.03
1,DVA,.SPX,5.0,74.93,40.0,2.047,0.0,0.0,0.0,1.0,102.39
2,GPN,.SPX,11.0,48.73,27.273,1.202,0.0,0.0,0.0,1.0,120.75
3,JKHY,.SPX,7.0,32.79,28.571,1.339,0.0,0.0,0.0,1.0,171.63
