,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,AON,.SPX,18.0,236.46,38.889,1.943,0.0,0.0,1.0,0.0,319.0
1,AXON,.SPX,15.0,270.59,26.667,2.043,0.0,0.0,1.0,0.0,195.39
2,FDS,.SPX,14.0,86.91,35.714,1.432,0.0,0.0,0.0,1.0,430.39
3,GD,.SPX,9.0,13.44,55.556,1.185,0.0,1.0,0.0,0.0,222.31
4,NWS,.SPX,10.0,144.06,10.0,1.788,0.0,1.0,0.0,0.0,21.19
5,OXY,.SPX,5.0,635.86,60.0,6.215,0.0,1.0,0.0,0.0,63.16
6,WST,.SPX,7.0,203.73,42.857,2.662,0.0,1.0,0.0,0.0,392.87
