,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,ACN,.SPX,11,122.22,36.364,1.491,False,False,False,True,347.97
1,AEP,.NDX.SPX,6,27.46,16.667,1.646,False,True,False,False,80.4
2,AVGO,.NDX.SPX,18,118.83,27.778,1.51,False,False,False,True,1099.98
3,EXC,.NDX.SPX,13,63.964,38.462,1.358,False,False,True,False,36.21
4,LRCX,.NDX.SPX,14,76.48,21.429,1.133,False,False,False,True,760.2
5,MTCH,.SPX,16,113.105,31.25,1.216,False,True,False,False,37.64
6,NKE,.SPX.DJI,11,5.15,36.364,1.031,False,False,False,True,105.9
