,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
0,DVA,.SPX,4.0,74.93,50.0,2.047,0.0,1.0,0.0,0.0
1,MTCH,.SPX,14.0,177.385,35.714,1.386,0.0,1.0,0.0,0.0
