,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
0,ECL,.SPX,7.0,75.36,57.143,3.193,0.0,1.0,0.0,0.0
1,EXC,.NDX.SPX,12.0,23.164,33.333,1.13,0.0,1.0,0.0,0.0
2,FE,.SPX,14.0,79.98,35.714,1.558,0.0,1.0,0.0,0.0
3,FICO,.SPX,15.0,189.19,26.667,2.03,0.0,1.0,0.0,0.0
4,GL,.SPX,13.0,77.58,23.077,1.301,0.0,1.0,0.0,0.0
5,MS,.SPX,10.0,222.96,20.0,2.118,0.0,1.0,0.0,0.0
