,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,CVX,.SPX.DJI,8,408.84,50.0,4.472,False,True,False,False,166.93
1,FDX,.SPX,10,31.53,10.0,1.131,False,False,True,False,260.19
2,PFE,.SPX,8,168.109,37.5,1.927,True,False,False,False,33.9
3,RL,.SPX,8,24.45,25.0,1.133,False,False,True,False,112.33
4,VRSN,.SPX,12,387.62,41.667,3.387,False,False,True,False,201.31
