,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,CAH,.SPX,13.0,191.58,30.769,2.184,1.0,0.0,0.0,0.0,89.74
1,CHD,.SPX,7.0,78.96,42.857,2.664,1.0,0.0,0.0,0.0,94.44
2,GD,.SPX,10.0,13.44,50.0,1.185,0.0,0.0,0.0,1.0,225.35
3,MMM,.SPX.DJI,6.0,186.41,50.0,6.275,0.0,0.0,0.0,1.0,104.12
4,MO,.SPX,10.0,111.25,50.0,2.119,1.0,0.0,0.0,0.0,43.97
5,TXT,.SPX,17.0,10.04,23.529,1.023,0.0,0.0,0.0,1.0,76.26
6,WDC,.SPX,11.0,223.54,45.455,1.701,0.0,0.0,0.0,1.0,41.41
