,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,ABNB,.NDX,7.0,320.5,57.143,3.974,0.0,0.0,0.0,1.0,132.25
1,ALK,.SPX,11.0,71.53,45.455,1.438,0.0,0.0,0.0,1.0,42.3
2,CFG,.SPX,9.0,200.98,55.556,3.462,0.0,0.0,0.0,1.0,28.3
3,CMI,.SPX,11.0,213.99,36.364,2.261,0.0,0.0,0.0,1.0,230.13
4,NKE,.SPX.DJI,9.0,2.05,33.333,1.016,1.0,0.0,0.0,0.0,101.77
5,PEP,.NDX.SPX,9.0,142.49,55.556,3.614,1.0,0.0,0.0,0.0,180.93
6,RCL,.SPX,8.0,246.85,25.0,2.629,1.0,0.0,0.0,0.0,100.53
7,SPG,.SPX,13.0,66.82,30.769,1.251,0.0,0.0,0.0,1.0,113.53
