,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,APD,.SPX,11.0,135.88,45.455,2.27,0.0,1.0,0.0,0.0,281.82
1,BAC,.SPX,12.0,246.07,50.0,2.485,0.0,1.0,0.0,0.0,31.41
2,BKNG,.NDX.SPX,15.0,8.22,13.333,1.07,0.0,1.0,0.0,0.0,2839.91
3,CSCO,.NDX.SPX.DJI,11.0,93.9,54.545,1.981,0.0,0.0,0.0,1.0,53.15
4,LULU,.NDX,15.0,463.17,60.0,2.69,0.0,0.0,0.0,1.0,384.0
5,OGN,.SPX,4.0,101.86,75.0,8.884,0.0,1.0,0.0,0.0,21.51
6,WDAY,.NDX,14.0,182.42,35.714,1.589,0.0,1.0,0.0,0.0,229.34
