,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
419,SEDG,.SPX,9.0,100.78,66.667,1.373,False,False,False,False
420,SEE,.SPX,9.0,103.22,33.333,1.673,False,False,False,False
421,SGEN,.NDX,12.0,153.86,41.667,1.602,False,False,False,False
422,SHW,.SPX,4.0,-97.073,0.0,0.0,False,False,False,False
423,SIRI,.NDX,12.0,-75.15,33.333,0.747,False,False,False,False
424,SJM,.SPX,11.0,-112.26,27.273,0.398,False,False,False,False
425,SLB,.SPX,11.0,356.9,45.455,2.496,False,False,False,False
426,SNA,.SPX,5.0,-100.28,0.0,0.0,False,False,False,False
427,SNPS,.NDX.SPX,11.0,158.86,36.364,1.729,False,False,False,False
428,SO,.SPX,7.0,-88.59,14.286,0.108,False,False,False,False
429,SPG,.SPX,12.0,66.82,33.333,1.251,False,False,False,False
430,SPGI,.SPX,15.0,-145.39,20.0,0.57,False,True,False,False
431,SRE,.SPX,12.0,-13.04,41.667,0.952,False,False,False,False
432,STE,.SPX,10.0,-92.6,30.0,0.475,False,False,False,False
433,STLD,.SPX,13.0,174.47,30.769,1.503,False,False,False,False
434,STT,.SPX,6.0,107.29,33.333,1.649,False,False,False,False
435,STX,.SPX,12.0,-323.24,8.333,0.073,False,False,False,False
436,STZ,.SPX,11.0,26.62,45.455,1.129,False,False,False,False
437,SWK,.SPX,9.0,-137.03,44.444,0.367,False,False,False,False
438,SWKS,.SPX,14.0,-519.97,14.286,0.046,False,False,False,False
439,SYF,.SPX,11.0,71.7,36.364,1.321,False,False,False,False
440,SYK,.SPX,12.0,-245.6,25.0,0.328,False,False,False,False
441,SYY,.SPX,13.0,-480.78,15.385,0.055,False,False,False,False
442,T,.SPX,12.0,324.294,33.333,3.365,False,False,False,False
443,TAP,.SPX,12.0,-129.1,33.333,0.514,False,False,False,False
444,TDG,.SPX,10.0,-206.3,20.0,0.084,False,False,False,False
445,TDY,.SPX,12.0,179.49,50.0,2.651,False,False,False,False
446,TEAM,.NDX,12.0,-2.05,41.667,0.994,False,False,False,False
447,TECH,.SPX,16.0,-223.975,25.0,0.475,False,False,False,False
448,TEL,.SPX,6.0,-243.71,0.0,0.0,False,False,False,False
449,TER,.SPX,13.0,-353.21,15.385,0.261,False,False,False,False
450,TFC,.SPX,9.0,-132.45,22.222,0.566,False,False,False,False
451,TFX,.SPX,16.0,120.15,37.5,1.434,False,False,False,False
452,TGT,.SPX,11.0,-354.48,0.0,0.0,False,False,False,False
453,TJX,.SPX,11.0,-171.15,27.273,0.373,False,False,False,False
454,TMO,.SPX,14.0,-161.03,28.571,0.588,False,True,False,False
455,TMUS,.NDX.SPX,13.0,-44.95,23.077,0.828,False,False,False,False
456,TPR,.SPX,5.0,-221.43,0.0,0.0,False,False,False,False
457,TRGP,.SPX,12.0,-8.47,33.333,0.967,False,False,False,False
458,TRMB,.SPX,11.0,250.63,27.273,2.261,False,False,False,False
459,TROW,.SPX,14.0,-158.83,28.571,0.56,False,False,False,False
460,TRV,.SPX.DJI,8.0,25.57,25.0,1.197,False,False,False,False
461,TSCO,.SPX,10.0,11.38,50.0,1.111,False,False,False,False
462,TSLA,.NDX.SPX,11.0,-229.083,18.182,0.498,False,False,False,False
463,TSN,.SPX,12.0,-118.74,33.333,0.506,False,False,False,False
464,TT,.SPX,13.0,-112.136,30.769,0.547,False,False,False,False
465,TTD,.NDX,12.0,-338.158,25.0,0.276,False,False,False,True
466,TTWO,.SPX,9.0,-15.31,33.333,0.94,False,False,False,False
467,TXN,.NDX.SPX,13.0,-353.02,0.0,0.0,False,False,False,False
468,TXT,.SPX,16.0,10.04,25.0,1.023,False,False,False,False
469,TYL,.SPX,14.0,-94.79,28.571,0.631,False,False,False,False
470,UAL,.SPX,9.0,988.49,55.556,5.72,False,False,False,False
471,UDR,.SPX,13.0,-300.3,15.385,0.141,False,False,False,False
472,UHS,.SPX,11.0,-165.71,18.182,0.331,False,False,False,False
473,ULTA,.SPX,9.0,525.16,66.667,3.876,False,False,False,False
474,UNH,.SPX.DJI,5.0,8.34,40.0,1.085,False,False,False,False
475,UNP,.SPX,8.0,170.03,37.5,2.611,False,False,False,False
476,UPS,.SPX,9.0,-47.24,33.333,0.614,False,False,False,False
477,URI,.SPX,17.0,-544.79,23.529,0.206,False,False,False,False
478,USB,.SPX,11.0,-320.56,9.091,0.023,False,False,False,False
479,V,.SPX.DJI,10.0,-145.4,40.0,0.4,False,False,False,False
480,VFC,.SPX,7.0,-201.82,28.571,0.262,False,False,False,False
481,VICI,.SPX,13.0,-137.86,23.077,0.455,False,False,False,False
482,VLO,.SPX,13.0,30.98,38.462,1.109,False,False,False,False
483,VMC,.SPX,14.0,-152.92,35.714,0.567,False,False,False,False
484,VRSK,.NDX.SPX,10.0,-110.53,40.0,0.153,False,False,False,False
485,VRSN,.SPX,11.0,387.62,45.455,3.387,False,False,False,False
486,VRTX,.NDX.SPX,12.0,13.75,41.667,1.121,False,False,False,False
487,VTR,.SPX,12.0,-418.07,16.667,0.091,False,False,False,False
488,VTRS,.SPX,6.0,35.93,16.667,1.235,False,False,False,False
489,VZ,.SPX.DJI,7.0,-86.81,14.286,0.046,False,False,False,False
490,WAB,.SPX,7.0,-87.43,42.857,0.356,False,False,False,False
491,WAT,.SPX,11.0,411.01,54.545,3.885,False,False,False,False
492,WBA,.NDX.SPX.DJI,5.0,-50.06,40.0,0.487,False,False,False,False
493,WBD,.NDX.SPX,14.0,450.39,35.714,2.145,False,False,False,False
494,WDAY,.NDX,14.0,182.42,35.714,1.589,False,False,False,False
495,WDC,.SPX,10.0,223.54,50.0,1.701,False,False,False,False
496,WEC,.SPX,9.0,-32.93,33.333,0.824,False,False,False,False
497,WELL,.SPX,7.0,-87.59,28.571,0.635,False,True,False,False
498,WFC,.SPX,7.0,113.8,42.857,1.809,False,False,False,False
499,WHR,.SPX,8.0,-187.89,25.0,0.13,False,False,False,False
500,WM,.SPX,8.0,-66.35,25.0,0.374,False,False,False,False
501,WMB,.SPX,11.0,429.66,45.455,3.425,False,False,False,False
502,WMT,.SPX.DJI,10.0,46.84,50.0,1.37,False,False,False,False
503,WRB,.SPX,11.0,81.893,27.273,1.481,False,False,False,False
504,WRK,.SPX,6.0,-14.29,16.667,0.897,False,False,False,False
505,WST,.SPX,7.0,203.73,42.857,2.662,False,False,False,False
506,WTW,.SPX,11.0,-128.12,18.182,0.065,False,False,False,False
507,WY,.SPX,5.0,-189.18,0.0,0.0,False,False,False,False
508,WYNN,.SPX,10.0,-227.76,30.0,0.51,False,False,False,False
509,XEL,.NDX.SPX,8.0,-58.75,25.0,0.613,False,False,False,False
510,XOM,.SPX,7.0,103.4,42.857,1.976,False,False,False,False
511,XRAY,.SPX,10.0,15.74,40.0,1.124,False,False,False,False
512,XYL,.SPX,8.0,-203.58,37.5,0.145,False,False,False,False
513,YUM,.SPX,11.0,-57.52,36.364,0.747,False,False,False,False
514,ZBH,.SPX,15.0,289.821,46.667,2.001,False,False,False,False
515,ZBRA,.SPX,9.0,-252.81,0.0,0.0,False,False,False,False
516,ZION,.SPX,16.0,61.93,25.0,1.169,False,False,False,False
517,ZM,.NDX,10.0,-463.41,20.0,0.256,False,False,False,False
518,ZS,.NDX,11.0,454.59,45.455,2.305,False,False,False,False
519,ZTS,.SPX,13.0,-54.03,30.769,0.816,False,False,False,False
