,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
145,DPZ,.SPX,5.0,-216.33,0.0,0.0,False,False,False,False
146,DRI,.SPX,8.0,-281.77,37.5,0.155,False,False,False,False
147,DTE,.SPX,9.0,-169.938,22.222,0.153,False,False,False,False
148,DUK,.SPX,10.0,-79.89,30.0,0.62,False,True,False,False
149,DVA,.SPX,5.0,74.93,40.0,2.047,False,False,False,False
150,DVN,.SPX,7.0,257.38,28.571,3.065,False,False,False,False
151,DXC,.SPX,12.0,-387.43,16.667,0.329,False,True,False,False
152,DXCM,.NDX.SPX,16.0,105.058,25.0,1.312,False,False,False,False
153,EA,.NDX.SPX,9.0,-159.43,11.111,0.158,False,False,False,False
154,EBAY,.NDX.SPX,13.0,-284.17,15.385,0.118,False,False,False,False
155,ECL,.SPX,7.0,75.36,57.143,3.193,False,True,False,False
156,ED,.SPX,7.0,1.29,42.857,1.029,False,False,False,False
157,EFX,.SPX,11.0,-28.4,36.364,0.848,False,False,False,False
158,EG,.SPX,11.0,6.24,36.364,1.029,False,False,False,False
159,EIX,.SPX,9.0,-117.67,33.333,0.448,False,False,False,False
160,EL,.SPX,17.0,-35.62,23.529,0.894,False,False,False,False
161,ELV,.SPX,10.0,-86.91,20.0,0.656,False,False,False,False
162,EMN,.SPX,12.0,248.03,58.333,3.281,False,False,False,False
163,EMR,.SPX,10.0,0.87,40.0,1.007,False,False,False,False
164,ENPH,.NDX.SPX,9.0,-92.99,22.222,0.717,False,False,False,False
165,EOG,.SPX,9.0,-174.42,22.222,0.509,False,False,False,False
166,EPAM,.SPX,7.0,-479.74,14.286,0.05,False,False,False,False
167,EQIX,.SPX,11.0,-190.54,9.091,0.147,False,False,False,False
168,EQR,.SPX,14.0,-28.5,21.429,0.88,False,False,False,False
169,EQT,.SPX,12.0,-21.03,33.333,0.922,False,False,False,False
170,ES,.SPX,11.0,24.11,36.364,1.28,False,False,False,False
171,ESS,.SPX,13.0,-236.19,23.077,0.102,False,False,False,False
172,ETN,.SPX,6.0,-130.2,16.667,0.007,False,False,False,False
