Stock,Belongs,Number of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
QCOM,.SPX.NDX,14,-112.35,14.286,0.68,,,,,
QRVO,.SPX,18,-708.26,5.556,0.068,,,,,
RCL,.SPX,9,246.85,22.222,2.629,30/08,04/01,,18/01,125.28
REG,.SPX,14,-395.97,35.714,0.158,,,,,
REGN,.SPX.NDX,11,0.39,27.273,1.002,,19/12,,27/12,874.37
RF,.SPX,10,-48.02,40,0.799,,,,,
RHI,.SPX,9,-25.34,22.222,0.779,,,,,
RJF,.SPX,9,-132.466,11.111,0.603,,,,,
RL,.SPX,8,24.45,25,1.133,,,04/10,,112.33
RMD,.SPX,8,17.75,50,1.116,,,,,
ROK,.SPX,11,-310.97,9.091,0.042,,,,,
ROL,.SPX,9,-76.343,22.222,0.492,,,,,
ROP,.SPX,9,-82.46,22.222,0.461,,,,,
ROST,.SPX.NDX,10,11.2,30,1.051,,05/08,,11/08,113.88
RSG,.SPX,11,-39.15,18.182,0.716,,,,,
RTX,.SPX,10,-223.217,20,0.245,,,,,
SBAC,.SPX,11,48.77,45.455,1.267,15/09,,19/10,,194.76
SBUX,.SPX.NDX,10,-48.65,40,0.665,,,,,
SCHW,.SPX,8,-36.61,25,0.784,,,,,
SEE,.SPX,9,103.22,33.333,1.673,,,,,
SGEN,.NDX,13,153.86,38.462,1.602,,,,04/11,215
SHW,.SPX,4,-97.073,0,0,,,,,
SIRI,.NDX,12,-75.15,33.333,0.747,,,,,
SJM,.SPX,11,-112.26,27.273,0.398,,,,,
SLB,.SPX,13,339.73,38.462,2.329,15/12,21/09,04/01,28/09,51.69
SNA,.SPX,5,-100.28,0,0,,,,,
SNPS,.SPX.NDX,11,141.29,27.273,1.649,,20/10,,01/11,469.44
SO,.SPX,7,-88.59,14.286,0.108,,,,,
SPG,.SPX,15,109.92,33.333,1.404,12/10,08/08,20/10,30/08,106.5
SPGI,.SPX,15,-145.39,20,0.57,,,,,
SRE,.SPX,12,-13.04,41.667,0.952,,,,,
STE,.SPX,10,-92.6,30,0.475,,,,,
STT,.SPX,7,107.29,28.571,1.649,03/11,,05/12,,73.22
STX,.SPX,12,-323.24,8.333,0.073,,,,,
STZ,.SPX,11,26.62,45.455,1.129,,,,,
SWK,.SPX,9,-137.03,44.444,0.367,,,,,
SWKS,.SPX,14,-519.97,14.286,0.046,,,,,
SYF,.SPX,12,71.7,33.333,1.321,12/10,,14/10,,28.87
SYK,.SPX,12,-245.6,25,0.328,,,,,
SYY,.SPX,13,-480.78,15.385,0.055,,,,,
T,.SPX,12,324.294,33.333,3.365,,,,,
TAP,.SPX,12,-129.1,33.333,0.514,,,,,
TDG,.SPX,10,-206.3,20,0.084,,,,,
TDY,.SPX,13,179.49,46.154,2.651,,09/09,,15/09,415.72
TEAM,.NDX,12,-2.05,41.667,0.994,,,,,
TECH,.SPX,16,-223.975,25,0.475,,,,,
TEL,.SPX,6,-243.71,0,0,,,,,
TER,.SPX,13,-353.21,15.385,0.261,,,,,
TFC,.SPX,9,-132.45,22.222,0.566,,,,,
TFX,.SPX,17,120.15,35.294,1.434,03/11,,05/12,,227.56
TGT,.SPX,11,-354.48,0,0,,,,,
TJX,.SPX,11,-171.15,27.273,0.373,,,,,
TMO,.SPX,14,-161.03,28.571,0.588,,,,,
TMUS,.SPX.NDX,13,-44.95,23.077,0.828,,,,,
TPR,.SPX,5,-221.43,0,0,,,,,
TRMB,.SPX,12,250.63,25,2.261,30/09,,06/10,,51.4
TROW,.SPX,14,-158.83,28.571,0.56,,,,,
TRV,.DJI.SPX,8,25.57,25,1.197,,,,,
TSCO,.SPX,10,11.38,50,1.111,,,,,
TSLA,.SPX.NDX,11,-229.083,18.182,0.498,,,,,
TSN,.SPX,12,-118.74,33.333,0.506,,,,,
TT,.SPX,13,-112.136,30.769,0.547,,,,,
TTWO,.SPX,9,-15.31,33.333,0.94,,,,,
TXN,.SPX.NDX,13,-353.02,0,0,,,,,
TXT,.SPX,17,10.04,23.529,1.023,,,,29/08,76.26
TYL,.SPX,14,-94.79,28.571,0.631,,,,,
UAL,.SPX,10,988.49,50,5.72,,,18/12,,42.33
UDR,.SPX,13,-300.3,15.385,0.141,,,,,
UHS,.SPX,11,-165.71,18.182,0.331,,,,,
ULTA,.SPX,9,525.16,66.667,3.876,,,,,
UNH,.DJI.SPX,6,8.34,33.333,1.085,,,,01/11,535.56
UNP,.SPX,10,150.38,30,2.201,15/09,,19/10,,205.92
UPS,.SPX,9,26.61,44.444,1.217,04/11,,,,142.86
URI,.SPX,17,-544.79,23.529,0.206,,,,,
USB,.SPX,11,-320.56,9.091,0.023,,,,,
V,.DJI.SPX,10,-145.4,40,0.4,,,,,
VFC,.SPX,7,-201.82,28.571,0.262,,,,,
VLO,.SPX,13,30.98,38.462,1.109,18/10,,,,130.72
VMC,.SPX,14,-152.92,35.714,0.567,,,,,
VRSK,.SPX.NDX,10,-110.53,40,0.153,,,,,
VRSN,.SPX,12,381.22,41.667,3.258,13/01,,04/10,,204.18
VRTX,.SPX.NDX,12,39.59,41.667,1.449,,21/10,,03/08,361.86
VTR,.SPX,13,26.65,23.077,1.058,11/10,,,,41.94
VTRS,.SPX,6,35.93,16.667,1.235,,,,,
VZ,.DJI.SPX,7,-86.81,14.286,0.046,,,,,
WAB,.SPX,7,-87.43,42.857,0.356,,,,,
WAT,.SPX,13,348.77,46.154,2.704,,05/01,,19/01,312.45
WBA,.DJI.SPX.NDX,5,-50.06,40,0.487,,,,,
WBD,.NDX,14,450.39,35.714,2.145,,,,,
WDAY,.NDX,16,63.6,31.25,1.201,,04/08,05/12,16/08,267.76
WDC,.SPX,12,234.82,50,1.736,,04/01,,16/01,52.23
WEC,.SPX,9,-32.93,33.333,0.824,,,,,
WELL,.SPX,7,-87.59,28.571,0.635,,,,,
WFC,.SPX,8,113.8,37.5,1.809,11/10,,21/10,,40.27
WHR,.SPX,8,-187.89,25,0.13,,,,,
WM,.SPX,8,-66.35,25,0.374,,,,,
