Stock,Belongs,Number of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
GOOG,.SPX.NDX,9,99.813,44.444,1.968,,02/01,,08/01,140.53
GOOGL,.SPX.NDX,8,263.024,75,6.32,,02/01,,08/01,138.84
GPC,.SPX,14,-53.37,35.714,0.809,,,,,
GPN,.SPX,11,48.73,27.273,1.202,,,,02/08,120.75
GRMN,.SPX,6,-136.25,16.667,0.005,,,,,
GS,.DJI.SPX,10,46.52,40,1.336,03/11,,05/12,,341.75
GWW,.SPX,13,-272.78,15.385,0.191,,,,,
HAL,.SPX,15,181.91,26.667,1.807,,22/09,,28/09,42.03
HAS,.SPX,9,-51.38,11.111,0.574,,,,,
HBAN,.SPX,12,-448.65,16.667,0.055,,,,,
HCA,.SPX,9,-145.11,33.333,0.322,,,,,
HD,.DJI.SPX,9,-98.72,22.222,0.397,,,,,
HES,.SPX,10,-322.28,10,0.106,,,,,
HIG,.SPX,12,-113.99,33.333,0.384,,,,,
HII,.SPX,12,-84.44,25,0.698,,,,,
HLT,.SPX,9,7.83,55.556,1.034,,,,,
HOLX,.SPX,14,150.26,42.857,1.987,22/08,08/01,28/11,09/01,72.12
HON,.DJI.SPX.NDX,7,-63.44,14.286,0.094,,,,,
HPE,.SPX,9,-225.92,11.111,0.18,,,,,
HPQ,.SPX,5,-201.35,20,0.169,,,,,
HRL,.SPX,13,52.32,53.846,1.757,01/12,,28/09,,31.32
HSIC,.SPX,11,148.18,45.455,1.736,,,,,
HST,.SPX,11,191.18,54.545,2.121,,,,,
HSY,.SPX,11,-122.57,27.273,0.376,,,,,
HUM,.SPX,12,239.91,50,3.019,,,,,
HWM,.SPX,11,394.67,45.455,2.57,03/11,16/01,29/11,18/01,55.19
IBM,.DJI.SPX,12,290.25,41.667,5.29,30/10,,29/11,,156.41
ICE,.SPX,11,345.79,45.455,3.902,,07/09,,13/09,115.99
IDXX,.SPX.NDX,16,86.63,43.75,1.311,04/11,,29/11,24/08,470.8
IEX,.SPX,9,-17.98,22.222,0.877,,,,,
IFF,.SPX,12,58.04,41.667,1.426,,01/08,,23/08,66.99
ILMN,.SPX.NDX,10,6,40,1.027,,,,,
INCY,.SPX,9,455.73,44.444,3.993,,18/12,,,60.62
INTC,.DJI.SPX.NDX,10,178.26,40,1.979,30/10,16/09,,,35.54
INTU,.SPX.NDX,7,-164.2,28.571,0.274,,,,,
IP,.SPX,8,-119.539,25,0.4,,,,,
IPG,.SPX,14,196.14,50,1.62,,,,,
IQV,.SPX,11,34.6,27.273,1.154,,04/01,,,220.08
IR,.SPX,18,297.68,33.333,1.928,03/11,05/01,29/11,10/01,76.29
IRM,.SPX,11,215.37,54.545,2.427,,05/01,,,66.75
ISRG,.SPX.NDX,10,-211.683,10,0.114,,,,,
IT,.SPX,7,-265.52,14.286,0.021,,,,,
ITW,.SPX,10,-84.86,30,0.629,,,,,
IVZ,.SPX,10,125.82,50,1.841,,,,,
J,.SPX,11,-235.55,9.091,0.124,,,,,
JBHT,.SPX,6,-45.04,16.667,0.553,,,,,
JCI,.SPX,10,-256.14,10,0.023,,,,,
JD,.NDX,10,-354.66,50,0.206,,,,,
JKHY,.SPX,8,8.43,25,1.07,,01/08,14/12,02/08,166.9
JNJ,.DJI.SPX,9,81.02,55.556,2.796,07/11,01/08,12/10,,151.7
JNPR,.SPX,12,-314.36,8.333,0.139,,,,,
JPM,.DJI.SPX,12,77.26,41.667,1.344,,,,,
K,.SPX,5,-31.8,20,0.439,,,,,
KDP,.NDX,9,74.67,33.333,2.228,,18/12,,22/12,32.83
KEY,.SPX,9,-312.42,22.222,0.063,,,,,
KEYS,.SPX,5,60.66,60,1.856,04/11,,,,125.76
KHC,.SPX.NDX,9,-246.795,22.222,0.148,,,,,
KIM,.SPX,8,-104.04,12.5,0.524,,,,,
KLAC,.SPX.NDX,15,-48.72,20,0.908,,,,,
KMB,.SPX,7,67.76,42.857,2.524,,05/12,,,121.45
KMI,.SPX,8,-159.66,12.5,0.348,,,,,
KMX,.SPX,8,297.94,37.5,1.868,,22/12,,,76.52
KO,.DJI.SPX,9,-181.48,11.111,0.047,,,,,
KR,.SPX,8,74.48,62.5,1.766,,,,,
L,.SPX,13,-64.54,15.385,0.746,,,,,
LCID,.NDX,9,23.84,22.222,1.084,,,,,
LDOS,.SPX,10,341.1,60,5.473,,,,,
LEN,.SPX,14,-587.84,21.429,0.068,,,,,
LH,.SPX,7,-155.241,14.286,0.051,,,,,
LHX,.SPX,10,196,50,6.532,10/10,28/07,29/09,,180.21
LIN,.SPX,10,74.16,30,1.426,,05/08,,26/08,381.59
LKQ,.SPX,7,-175.04,14.286,0.206,,,,,
LLY,.SPX,8,-8.39,12.5,0.939,,,,,
LMT,.SPX,11,61.46,18.182,1.654,11/10,,07/11,,451.16
LNC,.SPX,10,221.08,30,1.837,,,06/09,,25.34
LNT,.SPX,6,-47.36,16.667,0.153,,,,,
LOW,.SPX,11,37.73,54.545,1.231,,04/01,,10/01,220.21
LRCX,.SPX.NDX,14,76.48,21.429,1.133,,03/01,,11/01,760.2
LULU,.NDX,15,463.17,60,2.69,,,,04/08,384
LUV,.SPX,12,236.33,41.667,1.747,,,,,
LVS,.SPX,8,116.67,50,1.543,01/09,10/01,06/09,,49.29
LW,.SPX,5,-0.54,20,0.997,,,,,
LYB,.SPX,13,-147.3,38.462,0.571,,,,,
LYV,.SPX,8,-132.64,25,0.431,,,,,
MA,.SPX,7,-225.31,14.286,0,,,,,
MAA,.SPX,11,40.26,36.364,1.165,07/11,,08/11,,119.59
MAR,.SPX.NDX,12,162.25,25,1.655,29/09,,28/11,,207.51
